Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2019-10-01,[ZC | 57.4%],[SU | 23.2%],[ZW | 10.4%],[ZS | 4.8%],[CT | 1.8%],[ZC | 42.6%],[ZW | 20.0%],[ZS | 19.8%],[SU | 7.9%],[CT | 3.2%]
2019-11-01,[HE | 10.3%],[LE | 0.1%],,,,[HE | 10.3%],[LE | 0.1%],,,
2019-12-01,[CT | 25.7%],[CP | 12.0%],[SU | 9.9%],[ZC | 4.7%],[LE | 1.7%],[CT | 25.3%],[CP | 12.5%],[SU | 9.1%],[ZC | 5.0%],[LE | 2.2%]
2020-01-01,[GD | 32.1%],[SV | 16.4%],[CF | 5.9%],[CT | 4.6%],[HE | 0.5%],[GD | 35.1%],[SV | 13.6%],[CF | 6.3%],[CT | 4.5%],[SU | 0.4%]
2020-02-01,[HO | 35.1%],[CO | 15.5%],[CT | 12.2%],[ZC | 8.6%],[ZS | 7.2%],[HO | 19.9%],[ZC | 14.7%],[LE | 13.9%],[CO | 12.0%],[CP | 11.9%]
2020-03-01,[CT | 23.0%],[CO | 19.2%],[HE | 2.7%],[HO | 1.6%],[SV | 0.6%],[CT | 24.2%],[CO | 18.1%],[HE | 2.7%],[HO | 1.5%],[SV | 0.6%]
2020-04-01,[CO | 51.8%],[NG | 18.0%],[HO | 16.0%],[CC | 12.8%],[ZS | 0.4%],[CO | 25.6%],[NG | 22.0%],[CC | 19.5%],[HO | 18.9%],[ZS | 8.0%]
2020-05-01,[HE | 7.0%],[NG | 0.8%],,,,[HE | 7.1%],[NG | 0.7%],,,
2020-06-01,[SU | 28.5%],[NG | 20.8%],[CF | 10.0%],[CO | 7.4%],[CC | 6.3%],[SU | 27.6%],[NG | 14.1%],[LE | 11.8%],[CC | 10.2%],[CF | 7.9%]
2020-07-01,[SV | 4.8%],[LE | 4.0%],[CP | 2.0%],[CF | 1.9%],[NG | 1.1%],[SV | 4.7%],[LE | 4.2%],[CP | 2.0%],[CF | 1.8%],[NG | 1.1%]
2020-08-01,[GD | 43.4%],[HO | 21.7%],[SV | 20.4%],[CO | 1.2%],[CT | 0.3%],[GD | 56.1%],[HO | 15.3%],[SV | 14.6%],[CO | 0.6%],[CT | 0.5%]
2020-09-01,[SU | 11.1%],[HE | 10.2%],[NG | 0.4%],[LE | 0.3%],[CO | 0.1%],[SU | 11.1%],[HE | 10.2%],[NG | 0.4%],[LE | 0.3%],[CO | 0.1%]
2020-10-01,[SU | 48.2%],[ZC | 35.7%],[ZW | 5.0%],[CT | 3.1%],[ZS | 3.0%],[ZC | 27.6%],[SU | 22.5%],[LE | 16.3%],[ZW | 14.1%],[ZS | 13.5%]
2020-11-01,[HE | 3.5%],[LE | 3.1%],[NG | 0.7%],[CF | 0.1%],,[HE | 3.4%],[LE | 3.2%],[NG | 0.7%],[CF | 0.1%],
2020-12-01,[CT | 39.0%],[CP | 8.3%],[ZC | 5.7%],[LE | 3.2%],[SU | 2.9%],[CT | 36.8%],[CP | 8.7%],[ZC | 6.1%],[LE | 4.5%],[SU | 2.9%]
2021-01-01,[SV | 35.5%],[GD | 26.9%],[CT | 20.1%],[ZC | 6.0%],[CC | 0.7%],[GD | 40.7%],[SV | 22.1%],[CT | 19.8%],[ZC | 6.7%],[CC | 0.4%]
2021-02-01,[HO | 17.7%],[CC | 15.4%],[ZS | 12.8%],[CP | 8.0%],[ZC | 6.0%],[CC | 15.2%],[ZS | 14.5%],[HO | 14.4%],[CP | 10.9%],[ZC | 7.5%]
2021-03-01,[ZW | 4.0%],[NG | 2.6%],[CT | 2.3%],[ZS | 0.4%],[GD | 0.3%],[ZW | 3.9%],[NG | 2.6%],[CT | 2.4%],[ZS | 0.4%],[GD | 0.3%]
2021-04-01,[NG | 57.2%],[CC | 24.4%],[CO | 7.2%],[HO | 2.2%],[ZS | 1.0%],[NG | 48.8%],[CC | 28.1%],[CO | 6.0%],[ZS | 3.7%],[HO | 3.0%]
2021-05-01,[HE | 2.7%],[SU | 0.1%],[ZW | 0.1%],[NG | 0.1%],,[HE | 2.7%],[SU | 0.1%],[ZW | 0.1%],[NG | 0.1%],
2021-06-01,[SU | 30.7%],[CO | 13.4%],[NG | 8.2%],[HO | 5.2%],[CF | 4.5%],[SU | 31.1%],[CO | 10.8%],[NG | 6.7%],[LE | 5.4%],[HO | 5.3%]
2021-07-01,[SV | 53.1%],[GD | 5.7%],[CF | 2.0%],[LE | 1.9%],[CC | 0.4%],[SV | 51.0%],[GD | 6.9%],[LE | 2.5%],[CF | 2.1%],[CC | 0.5%]
2021-08-01,[SV | 29.7%],[NG | 22.2%],[HO | 16.0%],[GD | 15.0%],[CO | 5.4%],[GD | 32.2%],[SV | 22.2%],[HO | 16.3%],[NG | 10.3%],[CC | 6.1%]
2021-09-01,[HE | 13.5%],[SU | 3.0%],[LE | 1.3%],[NG | 0.3%],,[HE | 13.5%],[SU | 2.9%],[LE | 1.4%],[NG | 0.3%],
2021-10-01,[ZC | 32.8%],[SU | 30.4%],[ZW | 8.8%],[LE | 5.3%],[ZS | 5.0%],[ZC | 27.3%],[SU | 23.6%],[LE | 13.5%],[ZW | 10.5%],[ZS | 8.3%]
2021-11-01,[LE | 2.4%],[HE | 2.2%],[CF | 1.5%],[SU | 0.3%],[CT | 0.2%],[LE | 2.4%],[HE | 2.2%],[CF | 1.5%],[SU | 0.3%],[CT | 0.2%]
2021-12-01,[CT | 20.2%],[LE | 6.4%],[ZC | 5.9%],[ZS | 2.5%],[CP | 2.3%],[CT | 20.2%],[LE | 7.0%],[ZC | 5.1%],[ZS | 2.5%],[CP | 2.5%]
2022-01-01,[SV | 63.1%],[GD | 24.2%],[ZC | 7.3%],[CT | 1.7%],[SU | 0.3%],[SV | 45.3%],[GD | 41.9%],[ZC | 6.3%],[CT | 3.3%],
2022-02-01,[HO | 18.2%],[ZS | 16.2%],[CP | 15.0%],[SU | 14.2%],[CC | 7.1%],[ZS | 20.7%],[CP | 17.7%],[HO | 13.1%],[SU | 12.3%],[CC | 7.7%]
2022-03-01,[ZW | 3.3%],[ZC | 0.7%],[CT | 0.2%],[ZS | 0.2%],[GD | 0.1%],[ZW | 3.3%],[ZC | 0.7%],[CT | 0.2%],[ZS | 0.2%],[GD | 0.1%]
2022-04-01,[NG | 44.4%],[CC | 12.6%],[CT | 9.5%],[CO | 7.3%],[ZS | 4.0%],[NG | 34.9%],[CC | 14.2%],[CT | 13.0%],[ZS | 8.7%],[CP | 4.4%]
2022-05-01,[HE | 18.7%],[LE | 8.5%],[CO | 0.3%],[CC | 0.1%],[SV | 0.1%],[HE | 18.2%],[LE | 9.0%],[CO | 0.3%],[CC | 0.1%],[SV | 0.1%]
2022-06-01,[CO | 26.4%],[SU | 13.2%],[NG | 12.7%],[HO | 5.3%],[LE | 4.4%],[CO | 23.7%],[SU | 16.0%],[NG | 9.7%],[LE | 6.4%],[HO | 5.3%]
2022-07-01,[CF | 20.5%],[SV | 18.1%],[GD | 3.1%],[CC | 1.9%],[LE | 1.6%],[CF | 19.1%],[SV | 17.5%],[GD | 3.5%],[CC | 2.6%],[LE | 2.6%]
2022-08-01,[NG | 27.3%],[GD | 13.5%],[SV | 13.1%],[HO | 10.9%],[CO | 8.6%],[GD | 21.0%],[NG | 19.6%],[HO | 11.9%],[SV | 11.6%],[CC | 8.8%]
2022-09-01,[SU | 20.1%],[HE | 8.1%],[ZW | 4.2%],[CC | 3.4%],[CP | 3.3%],[SU | 20.8%],[HE | 7.6%],[ZW | 4.2%],[CP | 3.7%],[CC | 3.5%]
2022-10-01,[ZC | 26.2%],[LE | 18.5%],[SU | 16.8%],[ZW | 15.8%],[ZS | 4.3%],[LE | 27.8%],[ZC | 21.4%],[ZW | 14.8%],[SU | 12.0%],[ZS | 6.0%]
2022-11-01,[CT | 4.0%],[CC | 3.2%],[CF | 3.0%],[LE | 2.1%],[HE | 1.9%],[CT | 3.9%],[CC | 3.1%],[CF | 3.0%],[LE | 2.4%],[HE | 1.9%]
2022-12-01,[CT | 20.5%],[GD | 10.5%],[SV | 9.2%],[CP | 8.1%],[LE | 5.1%],[CT | 19.0%],[GD | 12.1%],[CP | 9.2%],[SV | 7.3%],[LE | 6.8%]
2023-01-01,[SV | 26.2%],[ZC | 24.9%],[GD | 16.3%],[CT | 11.7%],[NG | 4.1%],[GD | 26.4%],[SV | 23.1%],[ZC | 22.1%],[CT | 11.0%],[ZS | 2.0%]
2023-02-01,[HO | 18.3%],[ZS | 17.2%],[CP | 14.8%],[CO | 7.6%],[CC | 6.9%],[ZS | 21.5%],[CP | 18.3%],[HO | 13.7%],[CC | 7.3%],[CO | 5.3%]
2023-03-01,[NG | 26.4%],[ZW | 6.7%],[ZC | 2.5%],[HE | 0.6%],[GD | 0.5%],[NG | 25.5%],[ZW | 7.2%],[ZC | 3.0%],[HE | 0.5%],[GD | 0.5%]
2023-04-01,[NG | 69.9%],[CT | 10.1%],[HO | 5.7%],[CO | 4.5%],[ZC | 2.5%],[NG | 37.6%],[CT | 26.4%],[CC | 7.3%],[ZS | 5.6%],[ZC | 5.1%]
2023-05-01,[HE | 9.2%],[CO | 8.1%],[HO | 7.3%],[LE | 2.3%],[ZS | 1.4%],[HE | 9.6%],[CO | 7.4%],[HO | 7.2%],[LE | 2.4%],[ZS | 1.5%]
2023-06-01,[CO | 26.6%],[HO | 8.4%],[LE | 5.6%],[SU | 4.2%],[CF | 1.4%],[CO | 25.5%],[HO | 8.6%],[LE | 6.4%],[SU | 4.4%],[CF | 1.5%]
2023-07-01,[SV | 12.1%],[CF | 9.3%],[NG | 2.8%],[LE | 2.2%],[GD | 1.5%],[SV | 12.3%],[CF | 8.6%],[LE | 2.8%],[NG | 2.5%],[GD | 1.6%]
2023-08-01,[NG | 79.2%],[HO | 2.8%],[GD | 2.2%],[CO | 1.7%],[HE | 1.3%],[NG | 72.9%],[HO | 4.4%],[GD | 4.3%],[CO | 2.6%],[HE | 2.3%]
2023-09-01,[SU | 13.5%],[ZW | 10.0%],[CC | 3.3%],[CO | 3.3%],[HE | 2.9%],[SU | 14.1%],[ZW | 9.7%],[CC | 3.3%],[CO | 3.1%],[HE | 2.8%]
2023-10-01,[ZC | 23.4%],[SU | 17.9%],[LE | 15.4%],[ZW | 15.1%],[ZS | 8.1%],[LE | 27.7%],[ZC | 19.3%],[ZW | 12.3%],[SU | 11.2%],[ZS | 9.1%]
2023-11-01,[ZS | 7.9%],[CT | 5.9%],[CF | 3.4%],[CC | 3.2%],[LE | 2.0%],[ZS | 8.3%],[CT | 5.5%],[CF | 3.1%],[CC | 3.1%],[LE | 2.6%]
2023-12-01,[SV | 28.4%],[CT | 11.2%],[ZC | 10.6%],[GD | 8.4%],[HE | 7.9%],[SV | 23.1%],[ZC | 12.2%],[GD | 12.2%],[CT | 10.9%],[CP | 6.8%]
2024-01-01,[GD | 31.7%],[ZC | 18.1%],[SV | 16.1%],[CT | 9.0%],[ZS | 1.8%],[GD | 38.9%],[ZC | 15.0%],[SV | 13.8%],[CT | 8.3%],[ZS | 2.0%]
2024-02-01,[CP | 16.3%],[HO | 14.2%],[ZS | 11.5%],[CC | 10.9%],[CO | 10.4%],[CP | 20.7%],[ZS | 15.5%],[CC | 12.1%],[HO | 10.2%],[CO | 6.8%]
2024-03-01,[ZW | 10.8%],[ZC | 6.4%],[NG | 5.8%],[GD | 0.8%],[CF | 0.5%],[ZW | 10.4%],[ZC | 7.0%],[NG | 5.4%],[GD | 1.0%],[CF | 0.5%]
2024-04-01,[NG | 64.9%],[CT | 10.0%],[CO | 5.5%],[HO | 4.9%],[SU | 4.9%],[NG | 37.9%],[CT | 22.9%],[SU | 7.7%],[GD | 5.0%],[CO | 5.0%]
2024-05-01,[LE | 6.6%],[HO | 6.3%],[CO | 4.7%],[HE | 2.9%],[NG | 2.2%],[LE | 7.3%],[HO | 5.8%],[CO | 4.3%],[HE | 2.8%],[NG | 2.0%]
2024-06-01,[CO | 23.3%],[HO | 10.8%],[LE | 9.3%],[NG | 2.8%],[ZS | 2.1%],[CO | 21.5%],[HO | 11.0%],[LE | 10.6%],[NG | 2.4%],[SU | 2.3%]
2024-07-01,[SV | 19.1%],[CF | 12.3%],[NG | 6.2%],[LE | 4.2%],[CP | 1.6%],[SV | 19.2%],[CF | 11.8%],[NG | 5.5%],[LE | 5.3%],[CP | 1.6%]
2024-08-01,[NG | 75.8%],[HO | 2.4%],[CO | 1.5%],[HE | 1.1%],[GD | 0.6%],[NG | 70.8%],[HO | 4.8%],[CO | 1.8%],[HE | 1.6%],[GD | 1.0%]
2024-09-01,[SU | 10.0%],[CO | 9.4%],[ZC | 3.4%],[HE | 2.8%],[ZW | 2.0%],[SU | 10.5%],[CO | 8.8%],[ZC | 3.5%],[HE | 2.7%],[ZW | 2.1%]
2024-10-01,[ZC | 25.8%],[ZW | 16.5%],[SU | 15.4%],[ZS | 11.3%],[LE | 10.4%],[ZC | 23.4%],[LE | 18.4%],[ZS | 14.1%],[ZW | 13.7%],[SU | 10.5%]
2024-11-01,[CF | 9.9%],[ZS | 7.6%],[CP | 5.2%],[CT | 5.0%],[CC | 2.3%],[CF | 9.3%],[ZS | 8.5%],[CP | 5.0%],[CT | 4.9%],[CC | 2.5%]
2024-12-01,[SV | 17.4%],[GD | 15.1%],[ZW | 13.6%],[ZC | 11.2%],[HE | 8.6%],[GD | 20.7%],[SV | 13.2%],[ZW | 11.9%],[ZC | 11.0%],[CT | 6.5%]
